0:0:0:0:0:0:0:1 - - [16/Jul/2024:12:39:39 +0530] "GET /real-estate HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jul/2024:12:39:40 +0530] "GET /real-estate/ HTTP/1.1" 200 2281
0:0:0:0:0:0:0:1 - - [16/Jul/2024:12:39:40 +0530] "GET /favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Jul/2024:12:40:39 +0530] "GET /real-estate/register.jsp HTTP/1.1" 200 16999
0:0:0:0:0:0:0:1 - - [16/Jul/2024:12:40:55 +0530] "GET /real-estate/register.jsp HTTP/1.1" 200 16999
0:0:0:0:0:0:0:1 - - [16/Jul/2024:12:41:09 +0530] "GET /real-estate/login.jsp HTTP/1.1" 200 5367
0:0:0:0:0:0:0:1 - - [16/Jul/2024:12:41:14 +0530] "GET /real-estate/getUserEmailID/sachinom2001@gmail.com HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [16/Jul/2024:12:41:26 +0530] "POST /real-estate/login HTTP/1.1" 200 6735
0:0:0:0:0:0:0:1 - - [16/Jul/2024:12:41:37 +0530] "POST /real-estate/otpAction HTTP/1.1" 200 4264
0:0:0:0:0:0:0:1 - - [16/Jul/2024:12:44:52 +0530] "GET /real-estate/buyProperty?id=1 HTTP/1.1" 200 12179
0:0:0:0:0:0:0:1 - - [16/Jul/2024:12:44:59 +0530] "GET /real-estate/home.jsp HTTP/1.1" 200 4264
0:0:0:0:0:0:0:1 - - [16/Jul/2024:12:49:15 +0530] "GET /real-estate/home.jsp HTTP/1.1" 200 4264
0:0:0:0:0:0:0:1 - - [16/Jul/2024:12:49:16 +0530] "GET /favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Jul/2024:12:49:25 +0530] "GET /real-estate/home.jsp HTTP/1.1" 200 4265
0:0:0:0:0:0:0:1 - - [16/Jul/2024:12:49:25 +0530] "GET /real-estate/home.jsp HTTP/1.1" 200 4265
0:0:0:0:0:0:0:1 - - [16/Jul/2024:12:49:25 +0530] "GET /real-estate/home.jsp HTTP/1.1" 200 4265
0:0:0:0:0:0:0:1 - - [16/Jul/2024:12:49:26 +0530] "GET /favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Jul/2024:12:49:28 +0530] "GET /real-estate/home1.jsp HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [16/Jul/2024:12:49:44 +0530] "GET /real-estate/home1.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [16/Jul/2024:12:49:44 +0530] "GET /favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Jul/2024:12:56:35 +0530] "GET /favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Jul/2024:12:56:38 +0530] "GET /real-estate/home1.jsp HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [16/Jul/2024:13:10:22 +0530] "GET /real-estate/home1.jsp HTTP/1.1" 200 5533
0:0:0:0:0:0:0:1 - - [16/Jul/2024:13:10:22 +0530] "GET /real-estate/home1.jsp HTTP/1.1" 200 5533
0:0:0:0:0:0:0:1 - - [16/Jul/2024:13:10:22 +0530] "GET /real-estate/home1.jsp HTTP/1.1" 200 5533
0:0:0:0:0:0:0:1 - - [16/Jul/2024:13:10:22 +0530] "GET /real-estate/images/user.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Jul/2024:13:10:22 +0530] "GET /real-estate/images/logo.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Jul/2024:13:10:22 +0530] "GET /real-estate/images/setting.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Jul/2024:13:10:22 +0530] "GET /real-estate/images/profile.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Jul/2024:13:10:22 +0530] "GET /real-estate/images/help.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Jul/2024:13:10:22 +0530] "GET /real-estate/images/logout.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [16/Jul/2024:13:10:22 +0530] "GET /real-estate/images/user.jpg HTTP/1.1" 404 682
