0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:05:04 +0530] "GET /real-estate HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:05:05 +0530] "GET /real-estate/ HTTP/1.1" 200 2724
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:05:05 +0530] "GET /favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:05:12 +0530] "GET /real-estate/login.jsp HTTP/1.1" 200 7584
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:05:54 +0530] "GET /real-estate/getUserEmailID/vinod112@gmail.com HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:06:04 +0530] "POST /real-estate/login HTTP/1.1" 200 9016
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:06:23 +0530] "POST /real-estate/otpAction HTTP/1.1" 200 13177
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:07:07 +0530] "GET /real-estate/buyProperty?id=7 HTTP/1.1" 200 22855
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:20:51 +0530] "GET /real-estate/buyProperty?id=7 HTTP/1.1" 200 22437
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:20:51 +0530] "GET /real-estate/buyProperty?id=7 HTTP/1.1" 200 22437
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:20:51 +0530] "GET /favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:21:14 +0530] "GET /real-estate/buyProperty?id=7 HTTP/1.1" 200 22855
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:21:17 +0530] "GET /favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:21:58 +0530] "GET /real-estate/buyProperty?id=7 HTTP/1.1" 200 22800
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:21:58 +0530] "GET /real-estate/buyProperty?id=7 HTTP/1.1" 200 22800
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:21:58 +0530] "GET /favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:22:39 +0530] "GET /real-estate/buyProperty?id=7 HTTP/1.1" 200 22184
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:22:39 +0530] "GET /favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:22:59 +0530] "GET /real-estate/buyProperty?id=7 HTTP/1.1" 200 22932
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:23:01 +0530] "GET /favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:23:28 +0530] "GET /real-estate/buyProperty?id=7 HTTP/1.1" 200 22162
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:23:28 +0530] "GET /favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:23:45 +0530] "GET /real-estate/buyProperty?id=7 HTTP/1.1" 200 22173
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:23:45 +0530] "GET /favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:25:14 +0530] "GET /real-estate/buyProperty?id=7 HTTP/1.1" 200 23207
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:25:16 +0530] "GET /favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:27:12 +0530] "GET /real-estate/buyProperty?id=7 HTTP/1.1" 200 23592
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:27:13 +0530] "GET /favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:27:20 +0530] "GET /real-estate/buyProperty?id=7 HTTP/1.1" 200 22547
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:27:21 +0530] "GET /favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:27:41 +0530] "GET /real-estate/buyProperty?id=7 HTTP/1.1" 200 22448
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:27:41 +0530] "GET /favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:28:01 +0530] "GET /real-estate/buyProperty?id=7 HTTP/1.1" 200 22569
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:28:01 +0530] "GET /favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:29:12 +0530] "GET /real-estate/buyProperty?id=7 HTTP/1.1" 200 22448
0:0:0:0:0:0:0:1 - - [24/Aug/2024:14:29:13 +0530] "GET /favicon.ico HTTP/1.1" 404 682
